epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,135.256,1.4515,0.7018,0.9848,0.95254,0.9186,0.96819,0.51749,1.60995,0.74916,1.20028,0.0011684,0.0011684,0.0011684
44,138.39,1.47039,0.68861,0.99877,0.91998,0.93585,0.97684,0.47356,1.7352,0.77702,1.27067,0.0011486,0.0011486,0.0011486
45,141.533,1.40413,0.69033,0.98543,0.94178,0.94055,0.97489,0.52653,1.5624,0.8041,1.2141,0.0011288,0.0011288,0.0011288
46,144.661,1.47247,0.69758,0.96762,0.93116,0.94376,0.9765,0.54469,1.63242,0.71033,1.26518,0.001109,0.001109,0.001109
47,147.775,1.44132,0.66839,1.00593,0.96981,0.94186,0.97078,0.58163,1.53723,0.71872,1.21228,0.0010892,0.0010892,0.0010892
48,150.93,1.41126,0.66928,1.0036,0.91923,0.92642,0.94535,0.53184,1.67917,0.7909,1.25309,0.0010694,0.0010694,0.0010694
49,154.057,1.37398,0.65885,0.98079,0.97495,0.90517,0.96966,0.54118,1.56769,0.77402,1.19336,0.0010496,0.0010496,0.0010496
50,157.196,1.33117,0.61786,0.9849,0.96506,0.9636,0.97934,0.5619,1.55764,0.71587,1.21024,0.0010298,0.0010298,0.0010298
51,160.338,1.36368,0.65039,0.97444,0.95405,0.9657,0.97665,0.56969,1.55001,0.71157,1.23896,0.00101,0.00101,0.00101
52,163.535,1.36634,0.67545,0.98758,0.9764,0.9622,0.98152,0.57261,1.60106,0.7028,1.21283,0.0009902,0.0009902,0.0009902
53,166.691,1.38,0.657,0.99798,0.96459,0.94186,0.97631,0.55091,1.68994,0.74517,1.26843,0.0009704,0.0009704,0.0009704
54,169.845,1.29119,0.63304,0.97671,0.94494,0.88372,0.96333,0.53616,1.62917,0.93478,1.19473,0.0009506,0.0009506,0.0009506
55,173.028,1.34063,0.62682,0.97063,0.94821,0.96512,0.96387,0.57066,1.53397,0.75618,1.17774,0.0009308,0.0009308,0.0009308
56,176.142,1.29688,0.59504,0.96004,0.96327,0.91501,0.97455,0.59264,1.53095,0.74078,1.17163,0.000911,0.000911,0.000911
57,179.296,1.34121,0.61021,0.96409,0.97018,0.94186,0.98561,0.5716,1.6001,0.75793,1.24198,0.0008912,0.0008912,0.0008912
58,182.434,1.26897,0.61497,0.96403,0.94406,0.94186,0.98217,0.57647,1.50933,0.67549,1.20449,0.0008714,0.0008714,0.0008714
59,185.577,1.28522,0.62556,0.97716,0.93222,0.96512,0.96514,0.54547,1.63726,0.80289,1.27175,0.0008516,0.0008516,0.0008516
60,188.726,1.30113,0.61867,0.96312,0.97617,0.95259,0.97777,0.59041,1.46415,0.67288,1.19139,0.0008318,0.0008318,0.0008318
61,191.872,1.29782,0.58851,0.96021,0.94936,0.96512,0.98209,0.59105,1.55452,0.67586,1.19393,0.000812,0.000812,0.000812
62,194.991,1.22798,0.58703,0.9352,0.97491,0.93023,0.98502,0.58425,1.59641,0.72795,1.22214,0.0007922,0.0007922,0.0007922
63,198.101,1.24575,0.56165,0.93894,0.9503,0.88946,0.97471,0.57766,1.64809,0.80063,1.21565,0.0007724,0.0007724,0.0007724
64,201.234,1.29494,0.59397,0.95044,0.97868,0.95349,0.97621,0.58329,1.47339,0.66237,1.22055,0.0007526,0.0007526,0.0007526
65,204.373,1.25154,0.57832,0.93933,0.96176,0.98837,0.9779,0.59804,1.53201,0.63563,1.25689,0.0007328,0.0007328,0.0007328
66,207.544,1.23972,0.60048,0.93163,0.964,0.97674,0.97666,0.56723,1.60672,0.71117,1.24828,0.000713,0.000713,0.000713
67,210.649,1.27077,0.59139,0.95578,0.95245,0.98837,0.97886,0.60118,1.48335,0.72277,1.22898,0.0006932,0.0006932,0.0006932
68,213.811,1.27641,0.59677,0.97544,0.96578,0.98441,0.97864,0.59593,1.5052,0.6586,1.20743,0.0006734,0.0006734,0.0006734
69,216.924,1.23204,0.56436,0.95919,0.94306,0.96301,0.9778,0.59647,1.45606,0.65984,1.18188,0.0006536,0.0006536,0.0006536
70,220.025,1.19968,0.55062,0.94454,0.95169,0.97674,0.98436,0.6089,1.44456,0.66503,1.15057,0.0006338,0.0006338,0.0006338
71,223.19,1.23625,0.57096,0.94735,0.9727,0.95349,0.98651,0.59234,1.53064,0.67087,1.21336,0.000614,0.000614,0.000614
72,226.298,1.22838,0.57543,0.92824,0.96587,0.98709,0.98661,0.59123,1.57171,0.6537,1.23384,0.0005942,0.0005942,0.0005942
73,229.405,1.19915,0.58065,0.93716,0.9705,0.97674,0.97878,0.57736,1.53675,0.74461,1.26936,0.0005744,0.0005744,0.0005744
74,232.516,1.14756,0.55931,0.92597,0.97563,0.96512,0.9913,0.60507,1.52316,0.65535,1.24133,0.0005546,0.0005546,0.0005546
75,235.629,1.15492,0.53145,0.92079,0.98776,0.93824,0.97301,0.58479,1.57397,0.67552,1.29956,0.0005348,0.0005348,0.0005348
76,238.741,1.15058,0.53234,0.90796,0.97633,0.9592,0.98945,0.58964,1.52439,0.68942,1.22297,0.000515,0.000515,0.000515
77,241.86,1.14623,0.53616,0.94169,0.98459,0.97674,0.98841,0.61091,1.44064,0.66112,1.18042,0.0004952,0.0004952,0.0004952
78,245.011,1.15659,0.52257,0.92503,0.98327,0.97674,0.98873,0.62487,1.40781,0.66449,1.1705,0.0004754,0.0004754,0.0004754
79,248.201,1.11388,0.51415,0.91526,0.97687,0.98221,0.98834,0.60959,1.40636,0.61679,1.15849,0.0004556,0.0004556,0.0004556
80,251.355,1.12333,0.52497,0.90842,0.97574,0.97674,0.99105,0.62681,1.40914,0.63254,1.15633,0.0004358,0.0004358,0.0004358
81,254.553,1.15539,0.51664,0.93486,0.96408,0.98837,0.98905,0.64027,1.34089,0.59097,1.12101,0.000416,0.000416,0.000416
82,257.728,1.12623,0.50931,0.90822,0.96585,0.98668,0.98778,0.61797,1.38184,0.60875,1.13124,0.0003962,0.0003962,0.0003962
83,260.868,1.06041,0.48852,0.90126,0.97974,0.97674,0.98499,0.60247,1.35306,0.63376,1.11658,0.0003764,0.0003764,0.0003764
84,264.046,1.05142,0.47878,0.89826,0.97453,0.97674,0.98504,0.60804,1.43799,0.61664,1.18663,0.0003566,0.0003566,0.0003566
85,267.222,1.07299,0.49793,0.90905,0.97373,0.97674,0.98437,0.59897,1.4161,0.62577,1.171,0.0003368,0.0003368,0.0003368
86,270.387,1.06616,0.49786,0.91103,0.97382,0.97674,0.98509,0.60766,1.42786,0.60729,1.18737,0.000317,0.000317,0.000317
87,273.512,1.04721,0.49035,0.90225,0.97622,0.98837,0.98987,0.60942,1.49668,0.62463,1.21331,0.0002972,0.0002972,0.0002972
88,276.651,1.05863,0.49815,0.90664,0.97699,0.98733,0.99011,0.63066,1.39406,0.60779,1.13537,0.0002774,0.0002774,0.0002774
89,279.782,1.08968,0.48619,0.90138,0.9744,0.97674,0.98452,0.61878,1.38177,0.61636,1.14957,0.0002576,0.0002576,0.0002576
90,282.894,1.07964,0.49994,0.90455,0.97699,0.98753,0.99104,0.64144,1.40109,0.60247,1.17005,0.0002378,0.0002378,0.0002378
91,286.421,1.06919,0.50338,0.92022,0.97699,0.98736,0.99195,0.64443,1.44569,0.60728,1.21418,0.000218,0.000218,0.000218
92,289.677,0.9871,0.47389,0.89859,0.96577,0.98435,0.99167,0.62563,1.46766,0.61086,1.21791,0.0001982,0.0001982,0.0001982
93,292.826,1.01664,0.45885,0.91985,0.96525,0.98837,0.98804,0.62008,1.47127,0.61543,1.20946,0.0001784,0.0001784,0.0001784
94,295.934,0.99716,0.44636,0.87951,0.97667,0.98837,0.99129,0.63073,1.42604,0.61863,1.21027,0.0001586,0.0001586,0.0001586
95,299.048,1.01744,0.46398,0.89721,0.97701,0.98825,0.99029,0.6318,1.40952,0.58748,1.21514,0.0001388,0.0001388,0.0001388
96,302.152,1.02987,0.46231,0.912,0.97658,0.98837,0.99015,0.63674,1.38805,0.57631,1.19101,0.000119,0.000119,0.000119
97,305.256,0.94021,0.44006,0.88706,0.97428,0.98837,0.99009,0.6384,1.37088,0.57126,1.18321,9.92e-05,9.92e-05,9.92e-05
98,308.36,0.96381,0.43871,0.89276,0.97496,0.98837,0.99009,0.64756,1.41742,0.59526,1.19755,7.94e-05,7.94e-05,7.94e-05
99,311.519,1.0116,0.44643,0.90469,0.9753,0.98837,0.99011,0.64129,1.4256,0.60163,1.21484,5.96e-05,5.96e-05,5.96e-05
100,314.619,0.96396,0.44105,0.86336,0.97477,0.98837,0.9902,0.64667,1.41284,0.59529,1.21445,3.98e-05,3.98e-05,3.98e-05
