epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,861.476,1.36906,0.6601,1.02993,0.87022,0.86021,0.87423,0.4978,1.32368,4.80706,0.98505,0.0011684,0.0011684,0.0011684
44,881.529,1.3391,0.6493,1.02496,0.86448,0.8555,0.86889,0.48772,1.34361,5.25361,0.99561,0.0011486,0.0011486,0.0011486
45,901.549,1.35896,0.65603,1.0266,0.86303,0.85236,0.86803,0.49208,1.34574,5.18781,0.99122,0.0011288,0.0011288,0.0011288
46,921.536,1.34422,0.6469,1.01996,0.86029,0.84464,0.85904,0.46996,1.383,5.24912,1.00677,0.001109,0.001109,0.001109
47,941.569,1.33785,0.64144,1.01633,0.86274,0.87016,0.88143,0.49629,1.33943,5.14673,0.98922,0.0010892,0.0010892,0.0010892
48,961.57,1.32588,0.63548,1.00888,0.8626,0.85458,0.87396,0.49384,1.33777,5.88149,0.98853,0.0010694,0.0010694,0.0010694
49,981.566,1.32537,0.63442,1.013,0.85853,0.86425,0.88018,0.49945,1.34235,4.55284,0.99039,0.0010496,0.0010496,0.0010496
50,1001.64,1.29813,0.62067,1.00888,0.86183,0.87849,0.8787,0.49992,1.3217,5.22035,0.97831,0.0010298,0.0010298,0.0010298
51,1021.68,1.32193,0.63062,1.00344,0.85404,0.86389,0.86506,0.48684,1.35745,4.72299,0.99049,0.00101,0.00101,0.00101
52,1041.67,1.29527,0.62079,1.00381,0.874,0.86283,0.87884,0.50339,1.32277,4.44661,0.98604,0.0009902,0.0009902,0.0009902
53,1061.71,1.29104,0.60971,1.0033,0.87497,0.86104,0.88184,0.49948,1.34562,4.57357,0.99355,0.0009704,0.0009704,0.0009704
54,1081.73,1.30335,0.61474,0.99948,0.86379,0.86597,0.88084,0.49873,1.34086,5.30905,0.98994,0.0009506,0.0009506,0.0009506
55,1101.85,1.28168,0.59933,0.99479,0.88533,0.8691,0.88867,0.51567,1.31854,5.35365,0.9868,0.0009308,0.0009308,0.0009308
56,1121.9,1.27067,0.59781,0.99628,0.85043,0.86926,0.87139,0.50201,1.32803,5.3942,0.98686,0.000911,0.000911,0.000911
57,1141.92,1.26829,0.59615,0.98975,0.87148,0.86266,0.88034,0.49185,1.34795,5.99639,0.9956,0.0008912,0.0008912,0.0008912
58,1161.92,1.27576,0.60341,1.00141,0.85687,0.89642,0.88811,0.51883,1.32004,5.4081,0.98029,0.0008714,0.0008714,0.0008714
59,1182,1.23786,0.58366,0.99164,0.87067,0.88114,0.88546,0.51038,1.32387,4.59726,0.98302,0.0008516,0.0008516,0.0008516
60,1202.04,1.24267,0.58096,0.98879,0.87179,0.8822,0.87873,0.50475,1.32767,5.34619,0.98054,0.0008318,0.0008318,0.0008318
61,1222.09,1.2439,0.58334,0.98489,0.87275,0.86901,0.8784,0.50949,1.31399,5.10302,0.97577,0.000812,0.000812,0.000812
62,1242.07,1.23424,0.57368,0.98106,0.87211,0.88539,0.88912,0.51638,1.31086,5.47336,0.98001,0.0007922,0.0007922,0.0007922
63,1262.08,1.22554,0.56925,0.97959,0.86469,0.86991,0.8777,0.50827,1.31931,5.73612,0.97967,0.0007724,0.0007724,0.0007724
64,1282.09,1.23342,0.57061,0.97935,0.87717,0.87117,0.88742,0.50962,1.32881,5.79097,0.98534,0.0007526,0.0007526,0.0007526
65,1302.08,1.2333,0.57103,0.97988,0.88234,0.87906,0.89513,0.52966,1.29845,5.66581,0.97729,0.0007328,0.0007328,0.0007328
