epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,148.684,1.30929,0.60276,1.05251,0.91572,0.92286,0.9467,0.52248,1.50756,0.75442,1.13624,0.0011486,0.0011486,0.0011486
45,152.04,1.34754,0.63221,1.05776,0.92954,0.94,0.96258,0.53378,1.54583,0.71608,1.1387,0.0011288,0.0011288,0.0011288
46,155.398,1.29839,0.59426,1.07152,0.93507,0.90518,0.94444,0.5155,1.56432,0.69483,1.16499,0.001109,0.001109,0.001109
47,158.767,1.27311,0.59097,1.04362,0.90691,0.92,0.93538,0.51116,1.57236,0.7088,1.1755,0.0010892,0.0010892,0.0010892
48,162.121,1.28382,0.57746,1.06636,0.90892,0.92857,0.94293,0.50945,1.58219,0.70999,1.17906,0.0010694,0.0010694,0.0010694
49,165.482,1.29264,0.59399,1.05538,0.93638,0.93714,0.96984,0.55006,1.51333,0.64285,1.1487,0.0010496,0.0010496,0.0010496
50,168.875,1.2923,0.58227,1.05778,0.91906,0.94077,0.95424,0.52306,1.55569,0.68356,1.14863,0.0010298,0.0010298,0.0010298
51,172.225,1.25578,0.57693,1.0448,0.92212,0.93143,0.95629,0.53765,1.52709,0.67768,1.13808,0.00101,0.00101,0.00101
52,175.575,1.24964,0.57564,1.03996,0.92037,0.92465,0.96153,0.534,1.55097,0.6741,1.14493,0.0009902,0.0009902,0.0009902
53,178.943,1.21837,0.55317,1.04383,0.92008,0.94857,0.96944,0.53252,1.52564,0.63235,1.13611,0.0009704,0.0009704,0.0009704
54,182.299,1.23927,0.5567,1.03456,0.83679,0.87894,0.88684,0.45994,1.61931,0.80646,1.17491,0.0009506,0.0009506,0.0009506
55,185.66,1.22051,0.54484,1.01901,0.89404,0.94286,0.92613,0.50936,1.5238,0.70656,1.141,0.0009308,0.0009308,0.0009308
56,189.016,1.22192,0.56275,1.04309,0.91154,0.9,0.9471,0.51924,1.61453,0.68609,1.20051,0.000911,0.000911,0.000911
57,192.373,1.22859,0.55506,1.04074,0.9351,0.94681,0.959,0.52397,1.55706,0.64935,1.14688,0.0008912,0.0008912,0.0008912
58,195.725,1.19612,0.54001,1.01767,0.93208,0.94101,0.96071,0.52406,1.6003,0.68259,1.16805,0.0008714,0.0008714,0.0008714
59,199.085,1.1831,0.53468,1.01763,0.94129,0.93714,0.97262,0.55103,1.56844,0.63603,1.14592,0.0008516,0.0008516,0.0008516
60,202.483,1.21503,0.54029,1.01298,0.95953,0.94834,0.97226,0.55878,1.53353,0.61855,1.15222,0.0008318,0.0008318,0.0008318
61,205.889,1.16495,0.52013,1.00921,0.95055,0.9337,0.97171,0.54708,1.54397,0.62751,1.14685,0.000812,0.000812,0.000812
62,209.235,1.14272,0.5209,1.00275,0.93323,0.95143,0.96136,0.55007,1.55352,0.64461,1.15687,0.0007922,0.0007922,0.0007922
63,212.592,1.18034,0.53402,1.00523,0.95077,0.93804,0.97045,0.54391,1.55052,0.6395,1.15569,0.0007724,0.0007724,0.0007724
64,215.944,1.14839,0.53392,1.0002,0.93316,0.95734,0.97192,0.54738,1.54507,0.63524,1.1639,0.0007526,0.0007526,0.0007526
65,219.304,1.14661,0.5307,1.01145,0.93083,0.95714,0.97559,0.55702,1.52625,0.62038,1.15584,0.0007328,0.0007328,0.0007328
66,222.658,1.14512,0.51713,1.01093,0.94233,0.94286,0.96597,0.54004,1.535,0.64126,1.15576,0.000713,0.000713,0.000713
67,226.016,1.14428,0.52634,1.00676,0.92209,0.94682,0.9577,0.53511,1.54736,0.65943,1.15405,0.0006932,0.0006932,0.0006932
68,229.369,1.12098,0.51371,0.99501,0.93482,0.94857,0.96231,0.53664,1.5375,0.62782,1.15091,0.0006734,0.0006734,0.0006734
69,232.731,1.11577,0.51049,0.99226,0.92958,0.94289,0.95944,0.54818,1.51997,0.65801,1.13904,0.0006536,0.0006536,0.0006536
70,236.089,1.10048,0.51088,0.97664,0.93082,0.95714,0.97002,0.5677,1.49908,0.63145,1.13156,0.0006338,0.0006338,0.0006338
71,239.515,1.11393,0.50718,0.98749,0.93121,0.95143,0.96589,0.55092,1.51757,0.64252,1.13914,0.000614,0.000614,0.000614
72,242.868,1.09307,0.49703,0.98157,0.92687,0.92857,0.96645,0.56117,1.50616,0.63492,1.13145,0.0005942,0.0005942,0.0005942
73,246.228,1.07626,0.496,0.98101,0.93158,0.94,0.96144,0.549,1.53492,0.63826,1.14422,0.0005744,0.0005744,0.0005744
74,249.583,1.07499,0.48818,0.96709,0.92088,0.96571,0.97218,0.5661,1.50272,0.62747,1.12823,0.0005546,0.0005546,0.0005546
75,252.94,1.07162,0.4929,0.97243,0.92636,0.94857,0.97546,0.57249,1.49207,0.62079,1.13432,0.0005348,0.0005348,0.0005348
76,256.338,1.05926,0.48759,0.97809,0.94515,0.93547,0.97695,0.56786,1.47552,0.61802,1.12284,0.000515,0.000515,0.000515
77,259.696,1.064,0.48625,0.96144,0.95121,0.94695,0.97694,0.57481,1.47357,0.59784,1.1232,0.0004952,0.0004952,0.0004952
78,263.097,1.01638,0.46662,0.96236,0.93721,0.93823,0.97032,0.56216,1.48641,0.62337,1.12481,0.0004754,0.0004754,0.0004754
79,266.454,1.034,0.47013,0.94797,0.9358,0.94286,0.96965,0.55587,1.50315,0.61472,1.13679,0.0004556,0.0004556,0.0004556
80,269.813,1.05946,0.48677,0.96741,0.93385,0.96805,0.96492,0.55172,1.52708,0.63545,1.14637,0.0004358,0.0004358,0.0004358
81,273.171,1.02749,0.47214,0.95713,0.93285,0.95256,0.97107,0.55971,1.54769,0.63176,1.15074,0.000416,0.000416,0.000416
82,276.518,1.00888,0.4648,0.94974,0.94253,0.95429,0.9692,0.5553,1.53347,0.62117,1.15303,0.0003962,0.0003962,0.0003962
83,279.874,1.0027,0.45477,0.95356,0.93537,0.95113,0.969,0.55822,1.53048,0.61072,1.14963,0.0003764,0.0003764,0.0003764
84,283.226,1.01228,0.46026,0.95088,0.94012,0.95143,0.9737,0.56764,1.52387,0.60216,1.14802,0.0003566,0.0003566,0.0003566
85,286.588,1.00294,0.46363,0.94879,0.94095,0.95615,0.97505,0.56652,1.51661,0.61044,1.15131,0.0003368,0.0003368,0.0003368
86,289.951,0.98804,0.45624,0.93442,0.94084,0.95427,0.97561,0.57066,1.50318,0.59734,1.1427,0.000317,0.000317,0.000317
